robot_id,node_id,ETA
A1,N01,0.0
A1,N02,41.0
A1,N12,48.0
A1,N22,55.0
A1,N23,62.0
A1,N24,69.0
A1,N14,76.0
A1,N24,83.0
A1,N34,90.0
A1,N33,97.0
A1,N23,198.0
A1,N13,205.0
A1,N03,212.0
A1,N02,219.0
A1,N01,226.0
A2,N34,0.0
A2,N33,7.0
A2,N32,14.0
A2,N22,21.0
A2,N12,28.0
A2,N13,35.0
A2,N14,116.0
A2,N04,123.0
A2,N03,130.0
A2,N02,137.0
A2,N03,144.0
A2,N04,151.0
A2,N14,158.0
A2,N24,165.0
A2,N34,172.0
A3,N31,0.0
A3,N21,144.0
A3,N11,151.0
A3,N12,158.0
A3,N13,165.0
A3,N03,172.0
A3,N02,179.0
A3,N01,186.0
A3,N11,193.0
A3,N21,200.0
A3,N31,207.0
A4,N04,0.0
A4,N14,96.0
A4,N24,103.0
A4,N23,110.0
A4,N22,117.0
A4,N21,124.0
A4,N22,131.0
A4,N23,138.0
A4,N24,185.0
A4,N14,192.0
A4,N04,199.0
